"coach","wins","draws","losses","total_points","simulation","position","finals","grand_final","champ"
"Paul",14,0,7,36837,1,1,1,1,1
"Lester",13,0,8,36211,1,2,1,1,0
"Anthony",12,0,9,34638,1,3,1,0,0
"Luke",11,0,10,35584,1,4,1,0,0
"James",10,0,11,35617,1,5,0,0,0
"Mark",10,0,11,35084,1,6,0,0,0
"Jordan",8,0,13,33716,1,7,0,0,0
"Simon",6,0,15,33030,1,8,0,0,0
"Mark",13,0,8,35567,2,1,1,0,0
"Paul",12,0,9,36685,2,2,1,0,0
"Luke",11,0,10,35047,2,3,1,1,0
"Lester",10,0,11,35226,2,4,1,1,1
"James",10,0,11,34678,2,5,0,0,0
"Jordan",10,0,11,33758,2,6,0,0,0
"Anthony",9,0,12,34781,2,7,0,0,0
"Simon",9,0,12,33860,2,8,0,0,0
"Paul",14,0,7,36042,3,1,1,0,0
"Lester",12,0,9,35450,3,2,1,0,0
"Luke",12,0,9,35075,3,3,1,1,0
"Mark",11,0,10,36144,3,4,1,1,1
"Anthony",11,0,10,35069,3,5,0,0,0
"Jordan",10,0,11,33801,3,6,0,0,0
"James",9,0,12,35387,3,7,0,0,0
"Simon",5,0,16,32649,3,8,0,0,0
"Lester",17,0,4,36792,4,1,1,1,0
"Paul",13,0,8,35761,4,2,1,1,1
"Mark",12,0,9,36042,4,3,1,0,0
"Anthony",11,0,10,35291,4,4,1,0,0
"James",9,0,12,35361,4,5,0,0,0
"Luke",9,0,12,34156,4,6,0,0,0
"Jordan",8,0,13,33414,4,7,0,0,0
"Simon",5,0,16,33264,4,8,0,0,0
"Lester",16,0,5,36211,5,1,1,0,0
"Paul",12,0,9,36537,5,2,1,0,0
"Mark",11,0,10,35520,5,3,1,1,0
"Anthony",11,0,10,35373,5,4,1,1,1
"Luke",11,0,10,34858,5,5,0,0,0
"James",10,0,11,35260,5,6,0,0,0
"Jordan",9,0,12,34096,5,7,0,0,0
"Simon",4,0,17,32817,5,8,0,0,0
"Lester",14,0,7,36464,6,1,1,1,1
"Paul",13,0,8,36759,6,2,1,1,0
"Luke",12,0,9,35623,6,3,1,0,0
"James",12,0,9,34923,6,4,1,0,0
"Mark",10,0,11,35751,6,5,0,0,0
"Anthony",9,0,12,34635,6,6,0,0,0
"Jordan",9,0,12,34282,6,7,0,0,0
"Simon",5,0,16,32988,6,8,0,0,0
"Paul",14,0,7,36331,7,1,1,1,1
"Lester",14,0,7,35586,7,2,1,1,0
"Mark",13,0,8,36538,7,3,1,0,0
"Anthony",12,0,9,35328,7,4,1,0,0
"James",10,0,11,35390,7,5,0,0,0
"Luke",9,0,12,34476,7,6,0,0,0
"Jordan",9,0,12,33773,7,7,0,0,0
"Simon",3,0,18,33278,7,8,0,0,0
"Lester",15,0,6,36496,8,1,1,1,1
"Luke",13,0,8,35246,8,2,1,0,0
"Paul",12,0,9,36355,8,3,1,1,0
"Mark",11,0,10,35083,8,4,1,0,0
"James",10,0,11,35459,8,5,0,0,0
"Anthony",9,0,12,34636,8,6,0,0,0
"Jordan",8,0,13,33534,8,7,0,0,0
"Simon",6,0,15,32992,8,8,0,0,0
"Paul",13,0,8,36522,9,1,1,1,1
"Lester",13,0,8,35446,9,2,1,0,0
"Luke",13,0,8,35321,9,3,1,1,0
"Mark",11,0,10,35639,9,4,1,0,0
"Anthony",11,0,10,35357,9,5,0,0,0
"Jordan",9,0,12,33986,9,6,0,0,0
"James",8,0,13,34554,9,7,0,0,0
"Simon",6,0,15,33492,9,8,0,0,0
"Lester",14,0,7,36009,10,1,1,1,0
"Paul",13,0,8,36106,10,2,1,1,1
"Anthony",12,1,8,35627,10,3,1,0,0
"Mark",11,1,9,35507,10,4,1,0,0
"Luke",11,0,10,35487,10,5,0,0,0
"James",8,0,13,34367,10,6,0,0,0
"Jordan",7,0,14,33503,10,7,0,0,0
"Simon",7,0,14,33434,10,8,0,0,0
"Lester",14,0,7,35563,11,1,1,1,0
"Paul",12,0,9,36540,11,2,1,1,1
"Mark",12,0,9,35649,11,3,1,0,0
"James",11,0,10,34693,11,4,1,0,0
"Luke",10,0,11,34952,11,5,0,0,0
"Anthony",9,0,12,35307,11,6,0,0,0
"Jordan",9,0,12,33921,11,7,0,0,0
"Simon",7,0,14,33774,11,8,0,0,0
"Lester",15,0,6,36272,12,1,1,1,1
"Paul",14,0,7,36566,12,2,1,1,0
"Mark",12,0,9,35822,12,3,1,0,0
"Luke",11,0,10,34877,12,4,1,0,0
"Anthony",10,0,11,35163,12,5,0,0,0
"James",10,0,11,34808,12,6,0,0,0
"Jordan",7,0,14,33609,12,7,0,0,0
"Simon",5,0,16,33141,12,8,0,0,0
"Lester",15,0,6,36505,13,1,1,0,0
"Paul",13,0,8,35793,13,2,1,1,1
"Luke",12,0,9,34911,13,3,1,0,0
"Anthony",11,0,10,35952,13,4,1,1,0
"Jordan",11,0,10,34573,13,5,0,0,0
"James",10,0,11,35406,13,6,0,0,0
"Mark",8,0,13,34669,13,7,0,0,0
"Simon",4,0,17,33517,13,8,0,0,0
"Lester",16,0,5,36058,14,1,1,0,0
"Paul",14,0,7,36521,14,2,1,1,1
"Mark",13,0,8,35518,14,3,1,0,0
"Luke",11,0,10,34593,14,4,1,1,0
"Anthony",9,0,12,35089,14,5,0,0,0
"James",9,0,12,34954,14,6,0,0,0
"Jordan",8,0,13,34209,14,7,0,0,0
"Simon",4,0,17,32349,14,8,0,0,0
"Lester",15,0,6,36163,15,1,1,0,0
"Mark",15,0,6,35899,15,2,1,1,0
