season,round,fixture,team_id,team,coach,team_score,opponent_team_id,opponent_team,opponent_coach,opponent_score,differential,win,draw,loss,position,points,wins,draws,losses,points_for,points_against,pcnt
2016,1,3,,Brave Hartung,KAPPAZ,1814,,Steele Rebuilding,LESTER,1570,244,1,0,0,1,4,1,0,0,1814,1570,115.54
2016,1,2,,Game of Jones,RICHO,1737,,Gawn Girl,CHIEF,1549,188,1,0,0,2,4,1,0,0,1737,1549,112.14
2016,1,4,,Bontback Mountain,MELONS,1780,,Such is Fyfe,PMAC,1600,180,1,0,0,3,4,1,0,0,1780,1600,111.25
2016,1,1,,We're Not Gwilty,GARTER,1623,,Cotch Me If Ya Can,JMERC,1574,49,1,0,0,4,4,1,0,0,1623,1574,103.11
2016,1,1,,Cotch Me If Ya Can,JMERC,1574,,We're Not Gwilty,GARTER,1623,-49,0,0,1,5,0,0,0,1,1574,1623,96.98
2016,1,4,,Such is Fyfe,PMAC,1600,,Bontback Mountain,MELONS,1780,-180,0,0,1,6,0,0,0,1,1600,1780,89.89
2016,1,2,,Gawn Girl,CHIEF,1549,,Game of Jones,RICHO,1737,-188,0,0,1,7,0,0,0,1,1549,1737,89.18
2016,1,3,,Steele Rebuilding,LESTER,1570,,Brave Hartung,KAPPAZ,1814,-244,0,0,1,8,0,0,0,1,1570,1814,86.55
2016,2,3,,Brave Hartung,KAPPAZ,1769,,Gawn Girl,CHIEF,1471,298,1,0,0,1,8,2,0,0,3583,3041,117.82
2016,2,1,,Bontback Mountain,MELONS,1749,,Cotch Me If Ya Can,JMERC,1618,131,1,0,0,2,8,2,0,0,3529,3218,109.66
2016,2,2,,We're Not Gwilty,GARTER,1670,,Game of Jones,RICHO,1621,49,1,0,0,3,8,2,0,0,3293,3195,103.07
2016,2,2,,Game of Jones,RICHO,1621,,We're Not Gwilty,GARTER,1670,-49,0,0,1,4,4,1,0,1,3358,3219,104.32
2016,2,4,,Such is Fyfe,PMAC,1665,,Steele Rebuilding,LESTER,1400,265,1,0,0,5,4,1,0,1,3265,3180,102.67
2016,2,1,,Cotch Me If Ya Can,JMERC,1618,,Bontback Mountain,MELONS,1749,-131,0,0,1,6,0,0,0,2,3192,3372,94.66
2016,2,3,,Gawn Girl,CHIEF,1471,,Brave Hartung,KAPPAZ,1769,-298,0,0,1,7,0,0,0,2,3020,3506,86.14
2016,2,4,,Steele Rebuilding,LESTER,1400,,Such is Fyfe,PMAC,1665,-265,0,0,1,8,0,0,0,2,2970,3479,85.37
2016,3,4,,Brave Hartung,KAPPAZ,1553,,We're Not Gwilty,GARTER,1551,2,1,0,0,1,12,3,0,0,5136,4592,111.85
2016,3,1,,Bontback Mountain,MELONS,1762,,Game of Jones,RICHO,1683,79,1,0,0,2,12,3,0,0,5291,4901,107.96
