"coach","wins","draws","losses","total_points","simulation","position","finals","grand_final","champ"
"Luke",17,0,4,36488,1,1,1,1,0
"Anthony",13,0,8,34849,1,2,1,0,0
"Lester",12,0,9,35160,1,3,1,1,1
"James",10,0,11,34182,1,4,1,0,0
"Mark",10,0,11,34175,1,5,0,0,0
"Jordan",9,0,12,33726,1,6,0,0,0
"Simon",8,0,13,35467,1,7,0,0,0
"Paul",5,0,16,34945,1,8,0,0,0
"Luke",17,0,4,36211,2,1,1,1,1
"Anthony",15,0,6,34292,2,2,1,1,0
"Lester",12,0,9,35012,2,3,1,0,0
"James",10,0,11,34563,2,4,1,0,0
"Simon",9,0,12,35039,2,5,0,0,0
"Mark",8,0,13,33433,2,6,0,0,0
"Paul",7,0,14,34693,2,7,0,0,0
"Jordan",6,0,15,32992,2,8,0,0,0
"Anthony",15,0,6,34802,3,1,1,1,1
"Luke",14,0,7,35475,3,2,1,1,0
"Lester",12,0,9,35041,3,3,1,0,0
"James",10,0,11,34114,3,4,1,0,0
"Simon",9,0,12,35210,3,5,0,0,0
"Jordan",9,0,12,34188,3,6,0,0,0
"Mark",8,0,13,34042,3,7,0,0,0
"Paul",7,0,14,34610,3,8,0,0,0
"Luke",16,0,5,35850,4,1,1,1,0
"Lester",14,0,7,35805,4,2,1,1,1
"Anthony",13,0,8,34393,4,3,1,0,0
"Paul",9,0,12,34752,4,4,1,0,0
"Mark",9,0,12,33614,4,5,0,0,0
"Simon",8,0,13,34575,4,6,0,0,0
"James",8,0,13,34277,4,7,0,0,0
"Jordan",7,0,14,33141,4,8,0,0,0
"Luke",15,0,6,36248,5,1,1,0,0
"Anthony",14,0,7,35148,5,2,1,1,1
"Lester",12,0,9,35563,5,3,1,0,0
"Simon",10,0,11,35638,5,4,1,1,0
"James",10,0,11,34903,5,5,0,0,0
"Jordan",10,0,11,34222,5,6,0,0,0
"Mark",7,0,14,33818,5,7,0,0,0
"Paul",6,0,15,34696,5,8,0,0,0
"Luke",14,0,7,35770,6,1,1,0,0
"Anthony",14,0,7,35162,6,2,1,1,0
"Lester",12,0,9,35221,6,3,1,0,0
"Simon",9,0,12,34724,6,4,1,1,1
"Mark",9,0,12,33804,6,5,0,0,0
"James",9,0,12,33708,6,6,0,0,0
"Jordan",9,0,12,33362,6,7,0,0,0
"Paul",8,0,13,34223,6,8,0,0,0
"Luke",16,0,5,35553,7,1,1,0,0
"Anthony",15,0,6,34576,7,2,1,1,0
"Lester",13,0,8,35072,7,3,1,0,0
"Mark",10,0,11,34202,7,4,1,1,1
"Simon",9,0,12,35244,7,5,0,0,0
"Paul",8,0,13,34982,7,6,0,0,0
"James",7,0,14,34012,7,7,0,0,0
"Jordan",6,0,15,32519,7,8,0,0,0
"Luke",14,0,7,35758,8,1,1,1,1
"Anthony",12,0,9,34713,8,2,1,1,0
"Lester",12,0,9,34459,8,3,1,0,0
"Simon",10,0,11,35649,8,4,1,0,0
"Jordan",10,0,11,34481,8,5,0,0,0
"Mark",9,0,12,33822,8,6,0,0,0
"James",9,0,12,33759,8,7,0,0,0
"Paul",8,0,13,34697,8,8,0,0,0
"Anthony",14,0,7,34533,9,1,1,1,0
"Luke",13,0,8,35107,9,2,1,1,1
"Lester",12,0,9,35284,9,3,1,0,0
"Simon",10,0,11,34874,9,4,1,0,0
"Paul",9,0,12,35309,9,5,0,0,0
"James",9,0,12,34105,9,6,0,0,0
"Mark",9,0,12,33810,9,7,0,0,0
"Jordan",8,0,13,34255,9,8,0,0,0
"Luke",18,0,3,36194,10,1,1,0,0
"Lester",13,0,8,35012,10,2,1,1,0
"Anthony",12,0,9,34845,10,3,1,0,0
"James",10,0,11,34491,10,4,1,1,1
"Simon",9,0,12,34091,10,5,0,0,0
"Jordan",9,0,12,33836,10,6,0,0,0
"Mark",7,0,14,33524,10,7,0,0,0
"Paul",6,0,15,34459,10,8,0,0,0
"Anthony",16,0,5,35065,11,1,1,1,0
"Luke",14,0,7,36004,11,2,1,0,0
"Mark",11,0,10,34769,11,3,1,1,1
"Lester",10,0,11,34309,11,4,1,0,0
"James",9,0,12,34361,11,5,0,0,0
"Jordan",9,0,12,33671,11,6,0,0,0
"Paul",8,0,13,35449,11,7,0,0,0
"Simon",7,0,14,34305,11,8,0,0,0
"Anthony",16,0,5,34414,12,1,1,0,0
"Luke",15,0,6,36193,12,2,1,0,0
"Lester",13,0,8,35931,12,3,1,1,1
"James",11,0,10,34847,12,4,1,1,0
"Mark",9,0,12,33810,12,5,0,0,0
"Simon",7,0,14,34751,12,6,0,0,0
"Paul",7,0,14,34728,12,7,0,0,0
"Jordan",6,0,15,33465,12,8,0,0,0
"Anthony",15,0,6,35230,13,1,1,1,0
"Luke",13,0,8,35641,13,2,1,0,0
"Lester",13,0,8,35426,13,3,1,1,1
"James",11,0,10,34652,13,4,1,0,0
"Simon",10,0,11,35094,13,5,0,0,0
"Mark",8,0,13,33260,13,6,0,0,0
"Paul",7,0,14,34653,13,7,0,0,0
"Jordan",7,0,14,33981,13,8,0,0,0
"Luke",17,0,4,36665,14,1,1,1,1
"Lester",12,0,9,35204,14,2,1,1,0
"Anthony",12,0,9,34743,14,3,1,0,0
"Mark",11,0,10,34194,14,4,1,0,0
"Simon",10,0,11,35551,14,5,0,0,0
"Jordan",8,0,13,33058,14,6,0,0,0
"Paul",7,0,14,34906,14,7,0,0,0
"James",7,0,14,33877,14,8,0,0,0
"Luke",15,0,6,36659,15,1,1,1,1
"Anthony",14,0,7,35134,15,2,1,1,0
"Lester",13,0,8,35397,15,3,1,0,0
"Simon",12,0,9,35621,15,4,1,0,0
"Mark",9,0,12,34783,15,5,0,0,0
"Paul",7,0,14,34637,15,6,0,0,0
"Jordan",7,0,14,33576,15,7,0,0,0
"James",7,0,14,33179,15,8,0,0,0
"Luke",17,0,4,36510,16,1,1,1,1
"Anthony",14,0,7,34721,16,2,1,0,0
"Lester",12,0,9,35244,16,3,1,1,0
"Simon",11,0,10,35292,16,4,1,0,0
"James",9,0,12,34239,16,5,0,0,0
"Mark",8,0,13,34381,16,6,0,0,0
"Paul",7,0,14,33835,16,7,0,0,0
"Jordan",6,0,15,32664,16,8,0,0,0
"Anthony",15,0,6,34774,17,1,1,1,1
"Luke",14,0,7,36327,17,2,1,0,0
"Mark",12,0,9,34166,17,3,1,1,0
"Simon",10,0,11,34928,17,4,1,0,0
"Lester",10,0,11,34444,17,5,0,0,0
"Paul",9,0,12,35350,17,6,0,0,0
"James",8,0,13,33822,17,7,0,0,0
"Jordan",6,0,15,33161,17,8,0,0,0
"Luke",16,0,5,36438,18,1,1,1,0
"Anthony",14,0,7,34654,18,2,1,1,1
"Lester",11,0,10,35298,18,3,1,0,0
"Mark",11,0,10,34348,18,4,1,0,0
"James",9,0,12,34655,18,5,0,0,0
"Simon",8,0,13,34886,18,6,0,0,0
"Jordan",8,0,13,33487,18,7,0,0,0
"Paul",7,0,14,34711,18,8,0,0,0
"Luke",15,0,6,36218,19,1,1,0,0
"Lester",14,0,7,35855,19,2,1,1,1
"Anthony",13,0,8,33953,19,3,1,0,0
"James",10,0,11,34356,19,4,1,1,0
"Mark",10,0,11,33856,19,5,0,0,0
"Simon",8,0,13,34986,19,6,0,0,0
"Jordan",8,0,13,33506,19,7,0,0,0
"Paul",6,0,15,34056,19,8,0,0,0
"Luke",16,0,5,36400,20,1,1,1,1
"Lester",13,0,8,36063,20,2,1,1,0
"Anthony",13,0,8,34894,20,3,1,0,0
"Simon",9,0,12,34595,20,4,1,0,0
"James",9,0,12,34291,20,5,0,0,0
